,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text,Question,Answer,Test Imports,Assert Statement List,Tag
0,Two Sum,two-sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ","Array,Hash Table",Easy,48.5,13207990.0,6403821.0,31242.0,988.0,"A really brute force way would be to search for all possible pairs of numbers but that would be too slow. Again, it's best to try out brute force solutions for just for completeness. It is from these brute force solutions that you can come up with optimizations. So, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","15,18,167,170,560,653,1083,1798,1830,2116,2133,2320","3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array",,,,,
1,Add Two Numbers,add-two-numbers,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ","Linked List,Math,Recursion",Medium,38.5,6987977.0,2690949.0,17799.0,3682.0,,"43,67,371,415,445,1031,1774","Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists",,,,,
2,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"Given a string s, find the length of the longest substring without repeating characters. ","Hash Table,String,Sliding Window",Medium,33.0,9621884.0,3175843.0,22941.0,1027.0,,"159,340,1034,1813,2209","Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings",,,,,
3,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). ","Array,Binary Search,Divide and Conquer",Hard,34.0,3941694.0,1340565.0,15987.0,1964.0,,,,,,,,
4,Longest Palindromic Substring,longest-palindromic-substring,"Given a string s, return the longest palindromic substring in s. ","String,Dynamic Programming",Medium,31.8,5618701.0,1784028.0,17097.0,1005.0,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” a palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation.","214,266,336,516,647","Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings",,,,,
5,Zigzag Conversion,zigzag-conversion,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: ",String,Medium,41.4,1804469.0,747158.0,3570.0,8234.0,,,,,,,,
6,Reverse Integer,reverse-integer,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ",Math,Medium,26.7,7589410.0,2022695.0,6971.0,9596.0,,"8,190,2238","String to Integer (atoi),Reverse Bits,A Number After a Double Reversal",,,,,
7,String to Integer (atoi),string-to-integer-atoi,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows: Note: ",String,Medium,16.5,5960030.0,983656.0,1583.0,4562.0,,"7,65,2168","Reverse Integer,Valid Number,Check if Numbers Are Ascending in a Sentence",,,,,
8,Palindrome Number,palindrome-number,"Given an integer x, return true if x is palindrome integer. An integer is a palindrome when it reads the same backward as forward. ",Math,Easy,52.3,3823313.0,2000757.0,5593.0,2094.0,Beware of overflow when you reverse the integer.,"234,1375","Palindrome Linked List,Find Palindrome With Fixed Length",,,,,
9,Regular Expression Matching,regular-expression-matching,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). ","String,Dynamic Programming,Recursion",Hard,28.2,2370376.0,668919.0,7928.0,1177.0,,44,Wildcard Matching,,,,,
10,Container With Most Water,container-with-most-water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. ","Array,Two Pointers,Greedy",Medium,53.9,2673605.0,1441824.0,16437.0,930.0,"The aim is to maximize the area formed between the vertical lines. The area of any container is calculated using the shorter line as length and the distance between the lines as the width of the rectangle.


Area = length of shorter vertical line * distance between lines


We can definitely get the maximum width container as the outermost lines have the maximum distance between them. However, this container might not be the maximum in size as one of the vertical lines of this container could be really short. Start with the maximum width container and go to a shorter width container if there is a vertical line longer than the current containers shorter line. This way we are compromising on the width but we are looking forward to a longer length container.",42,Trapping Rain Water,,,,,
11,Integer to Roman,integer-to-roman,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given an integer, convert it to a roman numeral. ","Hash Table,Math,String",Medium,59.4,1135654.0,674026.0,3029.0,3953.0,,"13,273","Roman to Integer,Integer to English Words",,,,,
12,Roman to Integer,roman-to-integer,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. ","Hash Table,Math,String",Easy,57.9,2611149.0,1511737.0,3805.0,265.0,Problem is simpler to solve by working the string from back to front and using a map.,12,Integer to Roman,,,,,
